mp-aaaaaaab,1.974
mp-aaaaaaac,166.982
mp-aaaaaaad,1.717
mp-aaaaaaae,30.908
mp-aaaaaaah,1.874
mp-aaaaaaai,365.046
mp-aaaaaaaj,39.59
mp-aaaaaaak,79.731
mp-aaaaaaal,31.388
mp-aaaaaaan,207.093
mp-aaaaaaao,4.123
mp-aaaaaaar,252.155
mp-aaaaaaas,38.449
mp-aaaaaaat,19.355
mp-aaaaaaau,125.076
mp-aaaaaaav,15.845
mp-aaaaaaax,173.808
mp-aaaaaaay,387.827
mp-aaaaaaaz,0.6920000000000001
mp-aaaaaaba,25.86
mp-aaaaaabb,82.344
mp-aaaaaabc,39.338
mp-aaaaaabe,151.394
mp-aaaaaabg,57.916
mp-aaaaaabh,310.062
mp-aaaaaabi,106.499
mp-aaaaaabk,50.651
mp-aaaaaabl,55.005
mp-aaaaaabm,32.216
mp-aaaaaabn,27.941
mp-aaaaaabp,88.4
mp-aaaaaabq,195.555
mp-aaaaaabs,147.81
mp-aaaaaabt,17.224
mp-aaaaaabu,112.944
mp-aaaaaabv,435.374
mp-aaaaaabw,115.976
mp-aaaaaabx,400.41
mp-aaaaaaby,194.527
mp-aaaaaabz,13.874
mp-aaaaaacb,98.196
mp-aaaaaacc,-1127.579
mp-aaaaaacd,46.694
mp-aaaaaace,8.259
mp-aaaaaacg,33305.958
mp-aaaaaack,96.151
mp-aaaaaacm,44.169
mp-aaaaaaco,435.156
mp-aaaaaacp,54.533
mp-aaaaaacq,35.412
mp-aaaaaacr,36.692
mp-aaaaaacs,2.79
mp-aaaaaact,15.868
mp-aaaaaacu,112.881
mp-aaaaaacv,111.049
mp-aaaaaacw,252.9
mp-aaaaaacx,172.05
mp-aaaaaacy,10.978
mp-aaaaaada,69.319
mp-aaaaaadb,85.872
mp-aaaaaadc,138.65
mp-aaaaaadd,134.195
mp-aaaaaade,26.378
mp-aaaaaadg,47.261
mp-aaaaaadh,35.245
mp-aaaaaadi,36.407
mp-aaaaaadj,120.019
mp-aaaaaadk,40.246
mp-aaaaaadm,233.652
mp-aaaaaadn,302.264
mp-aaaaaado,107.613
mp-aaaaaadq,41.91
mp-aaaaaadr,12.611
mp-aaaaaadt,32.21
mp-aaaaaadv,44.76
mp-aaaaaadw,99.012
mp-aaaaaadx,345.128
mp-aaaaaady,200.587
mp-aaaaaadz,108.287
mp-aaaaaaea,32.445
mp-aaaaaaeb,34.252
mp-aaaaaaee,141.249
mp-aaaaaaef,96.905
mp-aaaaaaeg,36.66
mp-aaaaaaeh,3.177
mp-aaaaaaei,41.717
mp-aaaaaaej,296.007
mp-aaaaaaek,34.9
mp-aaaaaaen,35.858
mp-aaaaaaeo,0.973
mp-aaaaaaep,73.384
mp-aaaaaaes,8.934
mp-aaaaaaet,33.844
mp-aaaaaaeu,87.692
mp-aaaaaaew,248.014
mp-aaaaaaex,7.808
mp-aaaaaaey,55.811
mp-aaaaaaez,262.529
mp-aaaaaafa,49.335
mp-aaaaaafb,93.831
mp-aaaaaafc,17.349
mp-aaaaaafd,56.475
mp-aaaaaafe,76.871
mp-aaaaaaff,13.87
mp-aaaaaafg,295.605
mp-aaaaaafh,53.667
mp-aaaaaafj,11.529
mp-aaaaaafk,49.645
mp-aaaaaafl,14.467
mp-aaaaaafm,50.024
mp-aaaaaafn,45.516
mp-aaaaaafo,43.126
mp-aaaaaafq,181.232
mp-aaaaaafr,4.152
mp-aaaaaaft,88.916
mp-aaaaaafu,168.195
mp-aaaaaafv,26.891
mp-aaaaaafx,36.448
mp-aaaaaaga,20.188
mp-aaaaaagb,20.688
mp-aaaaaagd,31.862
mp-aaaaaage,210.223
mp-aaaaaagf,333.205
mp-aaaaaagg,14.766
mp-aaaaaagj,88.815
mp-aaaaaagk,16.881
mp-aaaaaagm,86.24
mp-aaaaaagn,115.697
mp-aaaaaagp,217.129
mp-aaaaaagr,110.784
mp-aaaaaagw,72.139
mp-aaaaaagx,52.307
mp-aaaaaaha,41.237
mp-aaaaaahg,224.023
mp-aaaaaahh,203.638
mp-aaaaaahi,237.846
