mp-aaaaaaab,0.604
mp-aaaaaaac,48.469
mp-aaaaaaad,1.609
mp-aaaaaaae,11.48
mp-aaaaaaah,1.075
mp-aaaaaaai,168.04
mp-aaaaaaaj,23.2
mp-aaaaaaak,32.38
mp-aaaaaaal,20.3
mp-aaaaaaan,67.563
mp-aaaaaaao,10.032
mp-aaaaaaar,116.144
mp-aaaaaaas,23.903
mp-aaaaaaat,14.952
mp-aaaaaaau,111.454
mp-aaaaaaav,-6.284
mp-aaaaaaax,91.592
mp-aaaaaaay,510.742
mp-aaaaaaaz,0.309
mp-aaaaaaba,16.922
mp-aaaaaabb,-14.386
mp-aaaaaabc,33.95
mp-aaaaaabe,49.843
mp-aaaaaabg,45.07
mp-aaaaaabh,193.869
mp-aaaaaabi,56.749
mp-aaaaaabk,22.413
mp-aaaaaabl,39.908
mp-aaaaaabm,19.899
mp-aaaaaabn,3.464
mp-aaaaaabp,1.932
mp-aaaaaabq,60.284
mp-aaaaaabs,113.597
mp-aaaaaabt,7.495
mp-aaaaaabu,48.257
mp-aaaaaabv,525.646
mp-aaaaaabw,89.734
mp-aaaaaabx,244.666
mp-aaaaaaby,64.83
mp-aaaaaabz,3.618
mp-aaaaaacb,-44.235
mp-aaaaaacc,88.882
mp-aaaaaacd,5.892
mp-aaaaaace,4.782
mp-aaaaaacg,19980.015
mp-aaaaaack,11.45
mp-aaaaaacm,32.576
mp-aaaaaaco,519.951
mp-aaaaaacp,32.26
mp-aaaaaacq,19.245
mp-aaaaaacr,24.026
mp-aaaaaacs,0.8200000000000001
mp-aaaaaact,10.038
mp-aaaaaacu,62.245
mp-aaaaaacv,-30.266
mp-aaaaaacw,150.16
mp-aaaaaacx,25.854
mp-aaaaaacy,5.411
mp-aaaaaada,39.008
mp-aaaaaadb,-2781.21
mp-aaaaaadc,-9.829
mp-aaaaaadd,-5.735
mp-aaaaaade,11.153
mp-aaaaaadg,25.121
mp-aaaaaadh,11.555
mp-aaaaaadi,23.389
mp-aaaaaadj,133.872
mp-aaaaaadk,26.543
mp-aaaaaadm,76.972
mp-aaaaaadn,148.152
mp-aaaaaado,62.896
mp-aaaaaadq,13.413
mp-aaaaaadr,7.209
mp-aaaaaadt,16.891
mp-aaaaaadv,31.02
mp-aaaaaadw,-27.239
mp-aaaaaadx,208.901
mp-aaaaaady,120.256
mp-aaaaaadz,56.604
mp-aaaaaaea,20.273
mp-aaaaaaeb,11.377
mp-aaaaaaee,-261.938
mp-aaaaaaef,70.562
mp-aaaaaaeg,9.504
mp-aaaaaaeh,0.597
mp-aaaaaaei,27.122
mp-aaaaaaej,145.8
mp-aaaaaaek,17.687
mp-aaaaaaen,22.399
mp-aaaaaaeo,0.503
mp-aaaaaaep,-98.413
mp-aaaaaaes,5.667
mp-aaaaaaet,21.438
mp-aaaaaaeu,13.21
mp-aaaaaaew,49.52
mp-aaaaaaex,2.099
mp-aaaaaaey,40.309
mp-aaaaaaez,117.048
mp-aaaaaafa,39.838
mp-aaaaaafb,33.105
mp-aaaaaafc,10.874
mp-aaaaaafd,22.101
mp-aaaaaafe,-13.986
mp-aaaaaaff,3.745
mp-aaaaaafg,180.477
mp-aaaaaafh,42.715
mp-aaaaaafj,7.697
mp-aaaaaafk,8.836
mp-aaaaaafl,12.032
mp-aaaaaafm,30.01
mp-aaaaaafn,31.32
mp-aaaaaafo,28.414
mp-aaaaaafq,40.746
mp-aaaaaafr,4.031
mp-aaaaaaft,62.445
mp-aaaaaafu,-60.519
mp-aaaaaafv,-4.929
mp-aaaaaafx,24.389
mp-aaaaaaga,14.36
mp-aaaaaagb,12.609
mp-aaaaaagd,18.911
mp-aaaaaage,172.392
mp-aaaaaagf,2957435.607
mp-aaaaaagg,8.32
mp-aaaaaagj,61.322
mp-aaaaaagk,3.229
mp-aaaaaagm,62.471
mp-aaaaaagn,80.084
mp-aaaaaagp,101.539
mp-aaaaaagr,69.344
mp-aaaaaagw,37.801
mp-aaaaaagx,4.156
mp-aaaaaaha,31.131
mp-aaaaaahg,86.928
mp-aaaaaahh,99.337
mp-aaaaaahi,91.956
mp-aaaaaahj,41.489
mp-aaaaaahl,46.073
mp-aaaaaahn,74.077
mp-aaaaaaho,83.776
mp-aaaaaahv,31.57
mp-aaaaaahw,13.894
mp-aaaaaahy,-513.342
mp-aaaaaaif,18.707
mp-aaaaaaig,77.994
mp-aaaaaaih,34.094
mp-aaaaaaii,79.706
mp-aaaaaaij,21.314
mp-aaaaaaik,55.209
mp-aaaaaail,133.065
mp-aaaaaaim,2.343
mp-aaaaaaip,27.681
mp-aaaaaaiq,20.652
mp-aaaaaais,135.327
mp-aaaaaait,37.739
mp-aaaaaaiv,110.129
mp-aaaaaaiw,58.618
mp-aaaaaaiy,41.33
mp-aaaaaaiz,56.461
mp-aaaaaajd,18.543
mp-aaaaaaje,42.263
mp-aaaaaajf,19.508
mp-aaaaaajh,27.592
mp-aaaaaaji,110.605
mp-aaaaaajm,30.021
mp-aaaaaajo,92.438
mp-aaaaaajp,70.131
mp-aaaaaajq,11.194
mp-aaaaaajr,142.307
mp-aaaaaajs,40.518
mp-aaaaaajt,71.056
mp-aaaaaajv,6.751
mp-aaaaaajw,67.25
mp-aaaaaajy,8.879
mp-aaaaaajz,120.006
mp-aaaaaaka,222.072
